房源id,纬度,经度,房源名称,物业类型,物业费,建造年代,绿化率,所属商圈,二手房房源数,租房源数,均价,租金价格中位数
580592,31.869464,117.287849,四十五中宿舍,公寓,暂无数据,2000年,暂无数据,"安庆路,三孝口",43套,暂无数据,21380,暂无数据
808181,31.576955,117.831075,滨湖南苑,公寓,0.7元/㎡/月,2008年,20%(一般),巢湖临湖,15套,暂无数据,5463,暂无数据
337979,31.839945,117.266006,明远新村,公寓,0.6元/㎡/月,2000年,40%(高),"轴承厂,合作化路,南七里",42套,暂无数据,13483,暂无数据
337461,31.902903,117.315345,春茂花苑,公寓,1.2元/㎡/月,2005年,30%(一般),瑶海公园,32套,2套,11048,nan
338614,31.867213,117.318616,大通小区,公寓,暂无数据,1997年,25%(一般),和平广场,38套,1套,12743,1400.0
492385,31.802578,117.172954,前城上品,公寓,1元/㎡/月,2010年,10%(低),肥西县城,34套,5套,13031,1200.0
337604,31.887592,117.384897,大鹏怡和华庭,公寓,0.6元/㎡/月,暂无数据,37%(一般),龙岗,39套,暂无数据,10823,暂无数据
374279,31.795431,117.21422,瑞格花园,公寓,1.2元/㎡/月,2005年,40%(高),"芙蓉路,港澳广场",9套,1套,15085,2100.0
787075,31.868489,117.321278,东来家园,公寓,1.2元/㎡/月,暂无数据,20%(一般),三里街,21套,19套,11964,680.0
338006,31.846257,117.282816,省水利设计院宿舍,公寓,0.5元/㎡/月,2000年,35%(一般),"东陈岗,中铁四局",29套,暂无数据,15147,暂无数据
375596,31.851035,117.273849,省外贸绩溪新村,公寓,0.58元/㎡/月,1994年,30%(一般),"西园新村,安医附院,安徽大学",57套,13套,20264,850.0
375189,31.861084,117.301069,省体委大院,公寓,0.6元/㎡/月,1995年,10%(低),"南熏门桥,芜湖路,大钟楼",暂无数据,暂无数据,21047,暂无数据
337971,31.865717,117.237801,丰乐苑(东区),公寓,0.6元/㎡/月,2000年,10%(低),"金牛路,省农机校,凤凰城",1套,暂无数据,13217,暂无数据
399208,32.034312,117.253817,圣联科瑞北郡,公寓,0.5元/㎡/月,2013年,40%(高),北城中环城,68套,2套,9432,900.0
337392,31.887684,117.263578,盛世花园,公寓,1.2元/㎡/月,2004年,36%(一般),"财富广场,北一环,亳州路",2套,5套,13554,750.0
337676,31.895063,117.281344,时代华庭,公寓,1.2元/㎡/月,2008年,33%(一般),海棠社区,16套,暂无数据,14936,暂无数据
338396,31.833643,117.280087,手表厂小区,公寓,暂无数据,1992年,20%(一般),"东陈岗,中铁四局",27套,8套,13702,1600.0
338264,31.859316,117.209972,天骄华庭,公寓,1元/㎡/月,2003年,30%(一般),"大蜀山,大铺头",12套,4套,18381,1775.0
480006,31.833098,117.296389,卫岗小学小区,公寓,0.6元/㎡/月,暂无数据,暂无数据,"宁国路,太宁路口,卫岗",12套,暂无数据,11438,暂无数据
337733,31.882129,117.379412,静安瑞泰,公寓,0.6元/㎡/月,2008年,40%(高),临泉东路,65套,3套,11901,1400.0
337986,31.837268,117.258765,西苑小区,公寓,0.6元/㎡/月,2000年,35%(一般),"轴承厂,合作化路,南七里",1套,暂无数据,13272,暂无数据
828963,31.722337,117.165424,华悦公馆,公寓,1元/㎡/月,2016年,41%(高),肥西县城,20套,1套,13197,1300.0
338449,31.896018,117.294331,纪元阳光帝景,公寓,1.2元/㎡/月,2009年,40%(高),杏林花园,30套,19套,14010,1700.0
829721,32.044678,117.279703,新慧金水岸水源墅,别墅,0.6元/㎡/月,2011年,40%(高),元一高尔夫,10套,暂无数据,8354,暂无数据
338236,31.899433,117.297194,鑫源花园,公寓,0.6元/㎡/月,2006年,39%(一般),火车站,33套,16套,12537,575.0
401264,31.894876,117.47188,星光国际广场,公寓,1.2元/㎡/月,2017年,20%(一般),肥东县城,13套,10套,11546,1340.0
399354,31.899083,117.224267,兴昌墨荷名邸,公寓,1.1元/㎡/月,2013年,40%(高),"大杨镇,四里河",9套,7套,12380,1500.0
338091,31.848697,117.354903,幸福园小区,公寓,暂无数据,2000年,20%(一般),合裕路,8套,暂无数据,11008,暂无数据
539306,31.615909,117.857299,秀庭景苑,公寓,暂无数据,2008年,暂无数据,北门,33套,1套,9940,1400.0
337600,31.845212,117.321226,阳光上南嘉园,公寓,0.6元/㎡/月,2005年,38%(一般),"巢湖路,马鞍山路,周谷堆",17套,2套,12748,900.0
829121,31.795197,117.209015,九溪江南园中园,公寓,1.8元/㎡/月,2009年,35%(一般),"港澳广场,芙蓉路",23套,5套,17031,750.0
378928,31.744225,117.184822,开拓环球世家,公寓,1.4元/㎡/月,2010年,41%(高),肥西县城,32套,1套,13537,1550.0
829142,31.879716,117.257669,康居苑小区,公寓,0.5元/㎡/月,2002年,36%(一般),"琥珀山庄,清溪路,三里庵",31套,13套,14057,710.0
337855,31.881276,117.286686,联合一村,公寓,0.5元/㎡/月,2000年,35%(一般),"白水坝,北一环,双岗",22套,暂无数据,12581,暂无数据
338591,31.824072,117.248386,中铁四局七公司宿舍,公寓,0.6元/㎡/月,2008年,25%(一般),天鹅湖,7套,5套,19220,800.0
808274,31.604604,117.865014,西苑小区,公寓,暂无数据,暂无数据,暂无数据,西门,4套,1套,8114,nan
808288,31.592259,117.884899,裕溪河畔北区,公寓,1元/㎡/月,2015年,暂无数据,东门,25套,暂无数据,9976,暂无数据
951340,31.883644,117.272593,栢景湾书香阁,公寓,1.44元/㎡/月,2015年,31%(一般),亳州路,16套,8套,21261,2500.0
